Timestamp,What is your country of origin?,In which country do you currently reside ?,How old are you ?,Sex,What is your blood group ?,Are you in a relationship ?,What is the blood group of your partner ?,I like helping people.,I enjoy being part of a group.,I choose my words with care.,I take charge.,I get nervous talking to people I don't know. ,I like order.,I get upset easily.,I am modest about what I have achieved.,I seek adventure.,I enjoy being the center of attention. ,I prefer variety to routine.,I feel others' emotions.,I find it hard to trust people. ,I avoid arguing even when I disagree. ,I avoid being alone.,I am more of a detailed-oriented than a big picture person. ,I tend to focus on present realities rather than future possibilities. ,I would rather go with the flow than have a set schedule.,I often talk about my own feelings and emotions. ,After an exhausting week a fun party is just what I need.,I rarely feel insecure. 
2020/01/23 8:04:18 pm GMT-8,Ivory Coast,Canada,26,Female,O-,No,N/A,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly disagree,Agree,Agree,Neutral,Strongly disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree
2020/01/23 8:27:26 pm GMT-8,India,Canada,33,Female,B+,Yes,O+,Strongly Agree,Agree,Agree,Agree,Strongly disagree,Neutral,Disagree,Agree,Strongly Agree,Disagree,Strongly agree,Strongly agree,Neutral,Disagree,Disagree,Agree,Disagree,Disagree,Neutral,Neutral,Agree
2020/01/23 8:32:34 pm GMT-8,India,Canada,33,Male,O+,Yes,B+,Strongly Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Disagree,Agree,Agree,Neutral,Agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree
2020/01/23 9:03:57 pm GMT-8,INDIA,CANADA,34,Male,A+,Yes,AB+,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Neutral,Neutral,Disagree,Strongly agree,Strongly agree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Agree
2020/01/23 9:07:19 pm GMT-8,India,Canada,32,Prefer not to say,A+,Yes,B+,Agree,Agree,Agree,Agree,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Strongly agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree
2020/01/23 9:20:07 pm GMT-8,Ivory Coast ,Canada,20,Female,O+,No,N/A,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly disagree,Neutral,Strongly agree,Neutral,Agree,Strongly disagree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly disagree
2020/01/23 9:26:30 pm GMT-8,India,India,31,Male,B+,Yes,A+,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly agree,Agree,Neutral,Strongly disagree,Strongly agree,Disagree,Agree,Strongly disagree,Agree,Agree,Disagree,Agree,Agree,Agree
2020/01/23 9:39:42 pm GMT-8,India,UK,33,Male,O+,Yes,A+,Strongly Agree,Neutral,Disagree,Agree,Strongly disagree,Agree,Disagree,Strongly agree,Agree,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Strongly disagree,Disagree,Strongly disagree
2020/01/23 9:55:41 pm GMT-8,India,Canada,30,Female,A+,Yes,A+,Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Agree,Neutral,Agree,Agree
2020/01/23 10:04:29 pm GMT-8,Ivory Coast ,Kenya,21,Female,O+,No,N/A,Strongly disagree,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Neutral,Disagree,Neutral,Strongly agree,Neutral,Disagree,Neutral,Agree,Disagree,Disagree,Agree,Strongly disagree,Neutral
2020/01/23 10:06:16 pm GMT-8,India,India,34+,Female,AB+,Yes,O+,Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly disagree,Strongly Agree,Neutral,Agree,Neutral,Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly agree,Strongly disagree,Disagree,Disagree,Strongly agree
2020/01/23 10:12:48 pm GMT-8,India,Canada,30,Male,B+,Yes,B+,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree
2020/01/23 10:22:15 pm GMT-8,Côte d’Ivoire ,Singapore,20,Female,A+,Yes,I don't know,Strongly disagree,Agree,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Disagree,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Agree,Agree,Strongly disagree,Agree
2020/01/23 10:31:04 pm GMT-8,India,India,42,Male,B+,Yes,B+,Agree,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree
2020/01/23 10:31:31 pm GMT-8,India,India,42,Male,B+,Yes,B+,Agree,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree
2020/01/23 10:33:47 pm GMT-8,India,India ,33,Female,B+,Yes,B+,Strongly Agree,Strongly Agree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral
2020/01/23 10:34:02 pm GMT-8,COTE D'IVOIRE ,KENYA ,52,Male,A+,Yes,O+,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Neutral,Neutral,Disagree,Strongly disagree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree
2020/01/23 10:34:42 pm GMT-8,India,India,33,Female,AB+,Yes,B+,Strongly Agree,Agree,Agree,Agree,Disagree,Neutral,Strongly Agree,Disagree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree
2020/01/23 10:56:14 pm GMT-8,India,India,30,Male,O+,Yes,B+,Agree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Strongly agree,Agree,Disagree,Disagree,Neutral,Neutral,Disagree,Agree,Disagree,Disagree,Disagree
2020/01/23 11:00:43 pm GMT-8,IVOIRY COAST,KENYA,50,Female,O+,Yes,A+,Agree,Agree,Agree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Strongly agree,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Disagree,Disagree
2020/01/23 11:09:49 pm GMT-8,Cameroon ,Mauritius ,41,Male,B+,Yes,I don't know,Agree,Agree,Agree,Agree,Strongly agree,Strongly Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Neutral
2020/01/23 11:14:39 pm GMT-8,India,India,34,Female,O+,Yes,B+,Agree,Agree,Agree,Strongly Agree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral
2020/01/23 11:30:02 pm GMT-8,Nigeria,Nigeria,24,Female,O+,No,N/A,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Strongly disagree,Disagree,Disagree,Neutral,Agree,Disagree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Neutral
2020/01/23 11:42:40 pm GMT-8,Ghana ,Ghana ,29,Male,O+,No,N/A,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Neutral,Disagree,Agree,Strongly disagree,Strongly agree,Disagree,Neutral,Strongly disagree,Strongly disagree,Disagree,Neutral,Agree
2020/01/24 12:05:11 am GMT-8,Nigeria,Nigeria,43,Male,A+,Yes,A+,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Neutral
2020/01/24 12:10:53 am GMT-8,Ivory Coast,Ivory Coast,30,Female,O+,Yes,O+,Strongly Agree,Agree,Agree,Strongly Agree,Strongly disagree,Neutral,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Strongly disagree,Strongly agree,Strongly agree,Neutral
2020/01/24 12:27:05 am GMT-8,Nigeria,Nigeria,35,Male,O+,Yes,O+,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Disagree,Agree,Strongly Agree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Agree,Agree
2020/01/24 12:38:57 am GMT-8,Senegal,Senegal,27,Male,O+,Yes,I don't know,Disagree,Agree,Strongly Agree,Agree,Neutral,Agree,Strongly disagree,Agree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Neutral,Neutral,Neutral,Disagree,Agree,Strongly agree
2020/01/24 12:49:50 am GMT-8,Côte d ivoire  ,Côte d’Ivoire ,26,Female,O+,Yes,AB+,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree
2020/01/24 12:53:32 am GMT-8,Côte d’Ivoire ,Côte d’Ivoire ,27,Female,A+,Yes,I don't know,Agree,Strongly Agree,Agree,Agree,Strongly agree,Strongly Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Agree,Strongly agree,Strongly agree
2020/01/24 1:09:03 am GMT-8,Kenya,Kenya,29,Female,A+,Yes,B+,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Neutral,Agree,Strongly agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Neutral
2020/01/24 1:14:42 am GMT-8,Nigeria,Nigeria,32,Male,A+,No,I don't know,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,Agree,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Neutral
2020/01/24 1:14:58 am GMT-8,India,USA,37,Male,O+,Yes,A+,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly disagree,Neutral,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree
2020/01/24 1:17:10 am GMT-8,Mali,Mali,35,Male,AB-,No,N/A,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Disagree,Disagree,Strongly agree,Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree
2020/01/24 1:18:37 am GMT-8,Ivory Coast ,Ivory Coast ,26,Female,O+,No,N/A,Strongly Agree,Agree,Agree,Agree,Neutral,Strongly disagree,Neutral,Neutral,Agree,Strongly disagree,Agree,Agree,Neutral,Strongly agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Agree,Strongly disagree
2020/01/24 1:31:04 am GMT-8,Kenya,Kenya,38,Male,AB+,No,I don't know,Strongly Agree,Strongly Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Strongly agree,Strongly agree,Disagree,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Strongly agree,Agree
2020/01/24 1:31:10 am GMT-8,India,India,40,Female,B+,Yes,O+,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Agree
2020/01/24 1:34:45 am GMT-8,Ivory Coast,Ivory Coast,30,Male,A+,Yes,O-,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Strongly disagree,Disagree,Disagree,Neutral,Neutral,Agree
2020/01/24 1:59:43 am GMT-8,Côte d' Ivoire,France,26,Female,A+,No,N/A,Strongly Agree,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Agree,Agree,Strongly agree,Disagree,Neutral,Agree,Disagree,Agree,Agree,Disagree,Disagree
2020/01/24 2:04:58 am GMT-8,Ivory Coast ,Canada,30,Female,O+,Yes,O+,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Neutral,Disagree,Agree
2020/01/24 2:05:21 am GMT-8,Côte d’Ivoire,Côte d’Ivoire,26,Male,O+,Yes,O+,Agree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Neutral,Disagree,Agree,Neutral,Neutral
2020/01/24 2:06:58 am GMT-8,Nigeria,Nigeria,25,Male,O-,Yes,O+,Strongly Agree,Neutral,Agree,Neutral,Neutral,Agree,Strongly disagree,Agree,Disagree,Disagree,Neutral,Agree,Disagree,Neutral,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Agree
2020/01/24 2:23:39 am GMT-8,Nigeria,Nigeria,43,Male,A+,Yes,A+,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Neutral
2020/01/24 2:46:27 am GMT-8,Ivory coast,Yes,32,Male,O+,No,I don't know,Agree,Agree,Agree,Agree,Strongly disagree,Strongly Agree,Neutral,Neutral,Disagree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Agree,Neutral,Strongly disagree,Strongly agree,Agree,Agree
